               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099786,            0.067659,                   0,             0.15415,              0.1494,            0.067373,            0.016806,            0.087277,             0.05838,                   0,           0.0033313,           0.0033313,            0.070018
                   1,            0.079747,            0.055572,                   0,             0.46422,             0.31242,             0.30241,             0.10223,             0.07085,            0.048502,                   0,           0.0066645,           0.0066645,            0.040018
                   2,            0.070763,             0.04987,                   0,             0.64803,             0.34649,             0.40425,             0.16412,            0.064045,            0.045808,                   0,            0.009997,            0.009997,            0.010017
                   3,            0.062824,            0.046567,                   0,             0.74719,             0.43249,             0.50734,             0.23504,            0.057321,            0.041121,                   0,           0.0099978,           0.0099978,           0.0099978
                   4,            0.057845,            0.043516,                   0,             0.75808,             0.47129,             0.54366,             0.26527,            0.054634,            0.039517,                   0,           0.0099978,           0.0099978,           0.0099978
                   5,            0.055518,            0.042718,                   0,             0.79319,             0.47229,             0.56295,             0.28305,            0.052618,            0.038404,                   0,           0.0099961,           0.0099961,           0.0099961
                   6,            0.053589,            0.041394,                   0,             0.79895,              0.4929,             0.58133,              0.3026,            0.051077,            0.037253,                   0,           0.0099938,           0.0099938,           0.0099938
                   7,            0.052065,            0.040682,                   0,             0.79913,             0.50295,             0.58952,             0.31453,            0.049764,            0.036746,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,            0.051053,            0.039958,                   0,             0.83393,             0.49971,             0.59816,             0.32393,            0.048925,            0.036102,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,            0.050179,            0.039164,                   0,             0.82007,             0.51768,             0.60944,              0.3279,            0.048679,            0.036106,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,            0.049455,            0.038996,                   0,             0.80247,             0.53236,             0.61984,             0.34017,            0.047526,            0.035581,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.048944,            0.038679,                   0,             0.81836,             0.53743,             0.62883,             0.34491,            0.047093,            0.035054,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,            0.048316,            0.037898,                   0,             0.83636,             0.53228,             0.63335,             0.35099,            0.046721,            0.035122,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,            0.047679,            0.037971,                   0,             0.83115,             0.53959,             0.63545,             0.35611,            0.046213,            0.034644,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.047354,            0.037709,                   0,             0.83413,             0.54155,             0.64269,             0.36067,            0.045965,            0.034438,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,            0.046783,            0.037031,                   0,             0.80772,             0.55255,             0.64264,             0.36444,            0.045529,             0.03423,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.046585,            0.036911,                   0,             0.82213,             0.55729,             0.65102,             0.36904,            0.045154,            0.034077,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,             0.04627,            0.036687,                   0,             0.82574,              0.5592,              0.6555,             0.37562,            0.044749,             0.03368,                   0,            0.009937,            0.009937,            0.009937
                  18,            0.045891,            0.036885,                   0,             0.83674,             0.55106,             0.65334,             0.37568,            0.044629,            0.033965,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.045527,            0.036384,                   0,             0.83118,             0.56169,             0.65672,             0.37747,            0.044346,            0.033584,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.045288,            0.036208,                   0,              0.8177,             0.57175,              0.6615,             0.38127,            0.044335,            0.033542,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,            0.044934,            0.035976,                   0,             0.83429,             0.56826,               0.665,             0.38534,            0.043852,            0.033122,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,            0.044686,            0.035765,                   0,             0.83161,             0.57067,             0.66693,             0.38529,            0.043776,            0.033228,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,            0.044462,            0.035862,                   0,              0.8275,             0.57482,             0.66996,             0.39069,            0.043536,            0.033116,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,            0.044602,             0.03607,                   0,             0.82362,             0.58004,             0.67328,             0.39436,            0.043331,            0.032909,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,            0.044128,            0.035885,                   0,             0.81538,              0.5857,             0.67546,             0.39717,            0.043047,            0.032987,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,            0.044192,            0.035348,                   0,             0.86097,             0.56086,             0.67255,             0.39691,            0.043021,            0.032986,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,            0.043837,            0.035119,                   0,             0.83724,             0.58302,              0.6792,             0.39936,            0.042875,            0.032681,                   0,           0.0098342,           0.0098342,           0.0098342
